,degree
Rana_berlandieri.ASV392,3
Rana_berlandieri.ASV3965,3
Rana_berlandieri.ASV398,3
Rana_berlandieri.ASV40,3
Rana_berlandieri.ASV41,3
Rana_berlandieri.ASV412,3
Rana_berlandieri.ASV420,3
Rana_berlandieri.ASV458,3
Rana_berlandieri.ASV485,3
Rana_berlandieri.ASV500,3
Rana_berlandieri.ASV5105,3
Rana_berlandieri.ASV513,3
Rana_berlandieri.ASV517,3
Rana_berlandieri.ASV544,3
Rana_berlandieri.ASV552,3
Rana_berlandieri.ASV5570,3
Rana_berlandieri.ASV558,3
Rana_berlandieri.ASV570,3
Rana_berlandieri.ASV584,3
Rana_berlandieri.ASV591,3
Rana_berlandieri.ASV602,3
Rana_berlandieri.ASV608,3
Rana_berlandieri.ASV619,3
Rana_berlandieri.ASV635,3
Rana_berlandieri.ASV638,3
Rana_berlandieri.ASV67,3
Rana_berlandieri.ASV670,3
Rana_berlandieri.ASV686,3
Rana_berlandieri.ASV691,3
Rana_berlandieri.ASV7,3
Rana_berlandieri.ASV74,3
Rana_berlandieri.ASV772,3
Rana_berlandieri.ASV826,3
Rana_berlandieri.ASV84,3
Rana_berlandieri.ASV9,3
Rana_berlandieri.ASV90,3
Rana_berlandieri.ASV906,3
Rana_berlandieri.ASV914,3
Rana_berlandieri.ASV926,3
Rana_berlandieri.ASV929,3
Rana_berlandieri.ASV939,3
Rana_berlandieri.ASV945,3
Rana_berlandieri.ASV994,3
Acris_crepitans.ASV1024,2
Acris_crepitans.ASV111,2
Acris_crepitans.ASV1136,2
Acris_crepitans.ASV1238,2
Acris_crepitans.ASV125,2
Acris_crepitans.ASV127,2
Acris_crepitans.ASV132,2
Acris_crepitans.ASV1414,2
Acris_crepitans.ASV159,2
Acris_crepitans.ASV170,2
Acris_crepitans.ASV176,2
Acris_crepitans.ASV180,2
Acris_crepitans.ASV181,2
Acris_crepitans.ASV21,2
Acris_crepitans.ASV210,2
Acris_crepitans.ASV233,2
Acris_crepitans.ASV243,2
Acris_crepitans.ASV267,2
Acris_crepitans.ASV273,2
Acris_crepitans.ASV2787,2
Acris_crepitans.ASV281,2
Acris_crepitans.ASV283,2
Acris_crepitans.ASV308,2
Acris_crepitans.ASV346,2
Acris_crepitans.ASV359,2
Acris_crepitans.ASV37,2
Acris_crepitans.ASV392,2
Acris_crepitans.ASV40,2
Acris_crepitans.ASV464,2
Acris_crepitans.ASV465,2
Acris_crepitans.ASV65,2
Acris_crepitans.ASV656,2
Acris_crepitans.ASV67,2
Acris_crepitans.ASV68,2
Acris_crepitans.ASV72,2
Acris_crepitans.ASV722,2
Acris_crepitans.ASV8,2
Acris_crepitans.ASV825,2
Acris_crepitans.ASV827,2
Acris_crepitans.ASV906,2
Rana_berlandieri.ASV1,2
Rana_berlandieri.ASV1000,2
Rana_berlandieri.ASV1006,2
Rana_berlandieri.ASV1028,2
Rana_berlandieri.ASV1036,2
Rana_berlandieri.ASV104,2
Rana_berlandieri.ASV1041,2
Rana_berlandieri.ASV1043,2
Rana_berlandieri.ASV1044,2
Rana_berlandieri.ASV105,2
Rana_berlandieri.ASV1072,2
Rana_berlandieri.ASV1099,2
Rana_berlandieri.ASV110,2
Rana_berlandieri.ASV1105,2
Rana_berlandieri.ASV111,2
Rana_berlandieri.ASV112,2
Rana_berlandieri.ASV1122,2
Rana_berlandieri.ASV1137,2
Rana_berlandieri.ASV1139,2
Rana_berlandieri.ASV116,2
Rana_berlandieri.ASV1165,2
Rana_berlandieri.ASV1176,2
Rana_berlandieri.ASV1178,2
Rana_berlandieri.ASV1186,2
Rana_berlandieri.ASV1195,2
Rana_berlandieri.ASV1196,2
Rana_berlandieri.ASV1197,2
Rana_berlandieri.ASV120,2
Rana_berlandieri.ASV1204,2
Rana_berlandieri.ASV1205,2
Rana_berlandieri.ASV1210,2
Rana_berlandieri.ASV122,2
Rana_berlandieri.ASV124,2
Rana_berlandieri.ASV1243,2
Rana_berlandieri.ASV125,2
Rana_berlandieri.ASV1262,2
Rana_berlandieri.ASV1292,2
Rana_berlandieri.ASV1316,2
Rana_berlandieri.ASV132,2
Rana_berlandieri.ASV1340,2
Rana_berlandieri.ASV1353,2
Rana_berlandieri.ASV1360,2
Rana_berlandieri.ASV1365,2
Rana_berlandieri.ASV14,2
Rana_berlandieri.ASV1401,2
Rana_berlandieri.ASV1415,2
Rana_berlandieri.ASV1429,2
Rana_berlandieri.ASV1459,2
Rana_berlandieri.ASV146,2
Rana_berlandieri.ASV147,2
Rana_berlandieri.ASV1491,2
Rana_berlandieri.ASV1500,2
Rana_berlandieri.ASV1531,2
Rana_berlandieri.ASV1537,2
Rana_berlandieri.ASV154,2
Rana_berlandieri.ASV1541,2
Rana_berlandieri.ASV1543,2
Rana_berlandieri.ASV157,2
Rana_berlandieri.ASV160,2
Rana_berlandieri.ASV1602,2
Rana_berlandieri.ASV161,2
Rana_berlandieri.ASV1640,2
Rana_berlandieri.ASV1649,2
Rana_berlandieri.ASV1657,2
Rana_berlandieri.ASV170,2
Rana_berlandieri.ASV1735,2
Rana_berlandieri.ASV1739,2
Rana_berlandieri.ASV1757,2
Rana_berlandieri.ASV179,2
Rana_berlandieri.ASV1815,2
Rana_berlandieri.ASV1825,2
Rana_berlandieri.ASV1826,2
Rana_berlandieri.ASV1872,2
Rana_berlandieri.ASV1917,2
Rana_berlandieri.ASV192,2
Rana_berlandieri.ASV196,2
Rana_berlandieri.ASV1967,2
Rana_berlandieri.ASV1978,2
Rana_berlandieri.ASV20,2
Rana_berlandieri.ASV2034,2
Rana_berlandieri.ASV204,2
Rana_berlandieri.ASV2070,2
Rana_berlandieri.ASV208,2
Rana_berlandieri.ASV2095,2
Rana_berlandieri.ASV210,2
Rana_berlandieri.ASV2108,2
Rana_berlandieri.ASV2139,2
Rana_berlandieri.ASV215,2
Rana_berlandieri.ASV2167,2
Rana_berlandieri.ASV217,2
Rana_berlandieri.ASV2177,2
Rana_berlandieri.ASV22,2
Rana_berlandieri.ASV2231,2
Rana_berlandieri.ASV224,2
Rana_berlandieri.ASV226,2
Rana_berlandieri.ASV227,2
Rana_berlandieri.ASV232,2
Rana_berlandieri.ASV235,2
Rana_berlandieri.ASV2371,2
Rana_berlandieri.ASV238,2
Rana_berlandieri.ASV2409,2
Rana_berlandieri.ASV241,2
Rana_berlandieri.ASV2411,2
Rana_berlandieri.ASV242,2
Rana_berlandieri.ASV246,2
Rana_berlandieri.ASV2486,2
Rana_berlandieri.ASV250,2
Rana_berlandieri.ASV2505,2
Rana_berlandieri.ASV2506,2
Rana_berlandieri.ASV2543,2
Rana_berlandieri.ASV2544,2
Rana_berlandieri.ASV2580,2
Rana_berlandieri.ASV2581,2
Rana_berlandieri.ASV2599,2
Rana_berlandieri.ASV263,2
Rana_berlandieri.ASV2631,2
Rana_berlandieri.ASV2634,2
Rana_berlandieri.ASV2658,2
Rana_berlandieri.ASV27,2
Rana_berlandieri.ASV272,2
Rana_berlandieri.ASV273,2
Rana_berlandieri.ASV2755,2
Rana_berlandieri.ASV279,2
Rana_berlandieri.ASV280,2
Rana_berlandieri.ASV281,2
Rana_berlandieri.ASV283,2
Rana_berlandieri.ASV2843,2
Rana_berlandieri.ASV287,2
Rana_berlandieri.ASV2882,2
Rana_berlandieri.ASV292,2
Rana_berlandieri.ASV2956,2
Rana_berlandieri.ASV2969,2
Rana_berlandieri.ASV297,2
Rana_berlandieri.ASV3003,2
Rana_berlandieri.ASV304,2
Rana_berlandieri.ASV3111,2
Rana_berlandieri.ASV3193,2
Rana_berlandieri.ASV320,2
Rana_berlandieri.ASV329,2
Rana_berlandieri.ASV334,2
Rana_berlandieri.ASV3348,2
Rana_berlandieri.ASV3353,2
Rana_berlandieri.ASV34,2
Rana_berlandieri.ASV340,2
Rana_berlandieri.ASV342,2
Rana_berlandieri.ASV353,2
Rana_berlandieri.ASV3556,2
Rana_berlandieri.ASV356,2
Rana_berlandieri.ASV3579,2
Rana_berlandieri.ASV359,2
Rana_berlandieri.ASV366,2
Rana_berlandieri.ASV3673,2
Rana_berlandieri.ASV368,2
Rana_berlandieri.ASV370,2
Rana_berlandieri.ASV377,2
Rana_berlandieri.ASV385,2
Rana_berlandieri.ASV388,2
Rana_berlandieri.ASV3967,2
Rana_berlandieri.ASV404,2
Rana_berlandieri.ASV4087,2
Rana_berlandieri.ASV409,2
Rana_berlandieri.ASV416,2
Rana_berlandieri.ASV431,2
Rana_berlandieri.ASV438,2
Rana_berlandieri.ASV439,2
Rana_berlandieri.ASV4399,2
Rana_berlandieri.ASV445,2
Rana_berlandieri.ASV448,2
Rana_berlandieri.ASV465,2
Rana_berlandieri.ASV468,2
Rana_berlandieri.ASV4696,2
Rana_berlandieri.ASV471,2
Rana_berlandieri.ASV479,2
Rana_berlandieri.ASV48,2
Rana_berlandieri.ASV488,2
Rana_berlandieri.ASV4901,2
Rana_berlandieri.ASV495,2
Rana_berlandieri.ASV4971,2
Rana_berlandieri.ASV4972,2
Rana_berlandieri.ASV507,2
Rana_berlandieri.ASV514,2
Rana_berlandieri.ASV524,2
Rana_berlandieri.ASV526,2
Rana_berlandieri.ASV531,2
Rana_berlandieri.ASV533,2
Rana_berlandieri.ASV535,2
Rana_berlandieri.ASV54,2
Rana_berlandieri.ASV540,2
Rana_berlandieri.ASV5411,2
Rana_berlandieri.ASV5416,2
Rana_berlandieri.ASV545,2
Rana_berlandieri.ASV55,2
Rana_berlandieri.ASV560,2
Rana_berlandieri.ASV561,2
Rana_berlandieri.ASV5669,2
Rana_berlandieri.ASV569,2
Rana_berlandieri.ASV573,2
Rana_berlandieri.ASV588,2
Rana_berlandieri.ASV59,2
Rana_berlandieri.ASV594,2
Rana_berlandieri.ASV596,2
Rana_berlandieri.ASV60,2
Rana_berlandieri.ASV600,2
Rana_berlandieri.ASV604,2
Rana_berlandieri.ASV615,2
Rana_berlandieri.ASV616,2
Rana_berlandieri.ASV6164,2
Rana_berlandieri.ASV6165,2
Rana_berlandieri.ASV617,2
Rana_berlandieri.ASV624,2
Rana_berlandieri.ASV628,2
Rana_berlandieri.ASV640,2
Rana_berlandieri.ASV65,2
Rana_berlandieri.ASV652,2
Rana_berlandieri.ASV66,2
Rana_berlandieri.ASV6619,2
Rana_berlandieri.ASV68,2
Rana_berlandieri.ASV682,2
Rana_berlandieri.ASV684,2
Rana_berlandieri.ASV69,2
Rana_berlandieri.ASV692,2
Rana_berlandieri.ASV695,2
Rana_berlandieri.ASV699,2
Rana_berlandieri.ASV70,2
Rana_berlandieri.ASV703,2
Rana_berlandieri.ASV704,2
Rana_berlandieri.ASV706,2
Rana_berlandieri.ASV713,2
Rana_berlandieri.ASV719,2
Rana_berlandieri.ASV722,2
Rana_berlandieri.ASV725,2
Rana_berlandieri.ASV737,2
Rana_berlandieri.ASV738,2
Rana_berlandieri.ASV7464,2
Rana_berlandieri.ASV751,2
Rana_berlandieri.ASV762,2
Rana_berlandieri.ASV769,2
Rana_berlandieri.ASV770,2
Rana_berlandieri.ASV78,2
Rana_berlandieri.ASV784,2
Rana_berlandieri.ASV787,2
Rana_berlandieri.ASV79,2
Rana_berlandieri.ASV7916,2
Rana_berlandieri.ASV809,2
Rana_berlandieri.ASV820,2
Rana_berlandieri.ASV828,2
Rana_berlandieri.ASV842,2
Rana_berlandieri.ASV843,2
Rana_berlandieri.ASV8440,2
Rana_berlandieri.ASV845,2
Rana_berlandieri.ASV846,2
Rana_berlandieri.ASV855,2
Rana_berlandieri.ASV86,2
Rana_berlandieri.ASV87,2
Rana_berlandieri.ASV891,2
Rana_berlandieri.ASV894,2
Rana_berlandieri.ASV897,2
Rana_berlandieri.ASV9017,2
Rana_berlandieri.ASV905,2
Rana_berlandieri.ASV909,2
Rana_berlandieri.ASV917,2
Rana_berlandieri.ASV919,2
Rana_berlandieri.ASV920,2
Rana_berlandieri.ASV932,2
Rana_berlandieri.ASV937,2
Rana_berlandieri.ASV94,2
Rana_berlandieri.ASV957,2
Rana_berlandieri.ASV963,2
Rana_berlandieri.ASV967,2
Rana_berlandieri.ASV974,2
Rana_berlandieri.ASV984,2
Rana_berlandieri.ASV99,2
Rana_berlandieri.ASV990,2
Rana_berlandieri.ASV991,2
Acris_crepitans.ASV1,1
Acris_crepitans.ASV10,1
Acris_crepitans.ASV1000,1
Acris_crepitans.ASV1001,1
Acris_crepitans.ASV1005,1
Acris_crepitans.ASV1006,1
Acris_crepitans.ASV1010,1
Acris_crepitans.ASV1012,1
Acris_crepitans.ASV1028,1
Acris_crepitans.ASV1030,1
Acris_crepitans.ASV1031,1
Acris_crepitans.ASV1036,1
Acris_crepitans.ASV1040,1
Acris_crepitans.ASV1043,1
Acris_crepitans.ASV1044,1
Acris_crepitans.ASV10449,1
Acris_crepitans.ASV10450,1
Acris_crepitans.ASV10452,1
Acris_crepitans.ASV10453,1
Acris_crepitans.ASV10454,1
Acris_crepitans.ASV10458,1
Acris_crepitans.ASV1046,1
Acris_crepitans.ASV10461,1
Acris_crepitans.ASV10462,1
Acris_crepitans.ASV10464,1
Acris_crepitans.ASV10465,1
Acris_crepitans.ASV10466,1
Acris_crepitans.ASV10468,1
Acris_crepitans.ASV10470,1
Acris_crepitans.ASV10473,1
Acris_crepitans.ASV10603,1
Acris_crepitans.ASV10604,1
Acris_crepitans.ASV10607,1
Acris_crepitans.ASV10608,1
Acris_crepitans.ASV10609,1
Acris_crepitans.ASV10610,1
Acris_crepitans.ASV10611,1
Acris_crepitans.ASV10612,1
Acris_crepitans.ASV10614,1
Acris_crepitans.ASV10615,1
Acris_crepitans.ASV1063,1
Acris_crepitans.ASV1064,1
Acris_crepitans.ASV1068,1
Acris_crepitans.ASV1074,1
Acris_crepitans.ASV1076,1
Acris_crepitans.ASV108,1
Acris_crepitans.ASV1085,1
Acris_crepitans.ASV1092,1
Acris_crepitans.ASV1093,1
Acris_crepitans.ASV1094,1
Acris_crepitans.ASV1096,1
Acris_crepitans.ASV1097,1
Acris_crepitans.ASV1098,1
Acris_crepitans.ASV110,1
Acris_crepitans.ASV1105,1
Acris_crepitans.ASV1108,1
Acris_crepitans.ASV1110,1
Acris_crepitans.ASV1115,1
Acris_crepitans.ASV1116,1
Acris_crepitans.ASV112,1
Acris_crepitans.ASV11213,1
Acris_crepitans.ASV11214,1
Acris_crepitans.ASV11216,1
Acris_crepitans.ASV11217,1
Acris_crepitans.ASV11218,1
Acris_crepitans.ASV11219,1
Acris_crepitans.ASV11222,1
Acris_crepitans.ASV11224,1
Acris_crepitans.ASV11225,1
Acris_crepitans.ASV11227,1
Acris_crepitans.ASV1125,1
Acris_crepitans.ASV1129,1
Acris_crepitans.ASV1133,1
Acris_crepitans.ASV11353,1
Acris_crepitans.ASV11355,1
Acris_crepitans.ASV11356,1
Acris_crepitans.ASV11357,1
Acris_crepitans.ASV11358,1
Acris_crepitans.ASV11359,1
Acris_crepitans.ASV11360,1
Acris_crepitans.ASV11361,1
Acris_crepitans.ASV11364,1
Acris_crepitans.ASV11365,1
Acris_crepitans.ASV11367,1
Acris_crepitans.ASV11368,1
Acris_crepitans.ASV1137,1
Acris_crepitans.ASV11370,1
Acris_crepitans.ASV11371,1
Acris_crepitans.ASV11372,1
Acris_crepitans.ASV11375,1
Acris_crepitans.ASV11376,1
Acris_crepitans.ASV11377,1
Acris_crepitans.ASV1139,1
Acris_crepitans.ASV1141,1
Acris_crepitans.ASV1142,1
Acris_crepitans.ASV1143,1
Acris_crepitans.ASV1145,1
Acris_crepitans.ASV1146,1
Acris_crepitans.ASV115,1
Acris_crepitans.ASV1155,1
Acris_crepitans.ASV1157,1
Acris_crepitans.ASV116,1
Acris_crepitans.ASV1161,1
Acris_crepitans.ASV1162,1
Acris_crepitans.ASV1169,1
Acris_crepitans.ASV1184,1
Acris_crepitans.ASV1185,1
Acris_crepitans.ASV1188,1
Acris_crepitans.ASV1191,1
Acris_crepitans.ASV11935,1
Acris_crepitans.ASV11938,1
Acris_crepitans.ASV11941,1
Acris_crepitans.ASV11942,1
Acris_crepitans.ASV11947,1
Acris_crepitans.ASV1195,1
Acris_crepitans.ASV1196,1
Acris_crepitans.ASV12080,1
Acris_crepitans.ASV12084,1
Acris_crepitans.ASV12087,1
Acris_crepitans.ASV12092,1
Acris_crepitans.ASV12096,1
Acris_crepitans.ASV1210,1
Acris_crepitans.ASV1221,1
Acris_crepitans.ASV1232,1
Acris_crepitans.ASV1236,1
Acris_crepitans.ASV1237,1
Acris_crepitans.ASV1242,1
Acris_crepitans.ASV1245,1
Acris_crepitans.ASV1246,1
Acris_crepitans.ASV1249,1
Acris_crepitans.ASV1258,1
Acris_crepitans.ASV1260,1
Acris_crepitans.ASV1261,1
Acris_crepitans.ASV1262,1
Acris_crepitans.ASV1264,1
Acris_crepitans.ASV1267,1
Acris_crepitans.ASV1269,1
Acris_crepitans.ASV1283,1
Acris_crepitans.ASV1284,1
Acris_crepitans.ASV13,1
Acris_crepitans.ASV1302,1
Acris_crepitans.ASV1303,1
Acris_crepitans.ASV1306,1
Acris_crepitans.ASV1308,1
Acris_crepitans.ASV1309,1
Acris_crepitans.ASV1318,1
Acris_crepitans.ASV1320,1
Acris_crepitans.ASV1324,1
Acris_crepitans.ASV1326,1
Acris_crepitans.ASV1330,1
Acris_crepitans.ASV1339,1
Acris_crepitans.ASV1340,1
Acris_crepitans.ASV1341,1
Acris_crepitans.ASV1356,1
Acris_crepitans.ASV1362,1
Acris_crepitans.ASV1367,1
Acris_crepitans.ASV1372,1
Acris_crepitans.ASV1379,1
Acris_crepitans.ASV1385,1
Acris_crepitans.ASV139,1
Acris_crepitans.ASV1395,1
Acris_crepitans.ASV1396,1
Acris_crepitans.ASV1398,1
Acris_crepitans.ASV1417,1
Acris_crepitans.ASV142,1
Acris_crepitans.ASV1421,1
Acris_crepitans.ASV1422,1
Acris_crepitans.ASV1432,1
Acris_crepitans.ASV144,1
Acris_crepitans.ASV1449,1
Acris_crepitans.ASV1451,1
Acris_crepitans.ASV1454,1
Acris_crepitans.ASV1455,1
Acris_crepitans.ASV146,1
Acris_crepitans.ASV1461,1
Acris_crepitans.ASV1466,1
Acris_crepitans.ASV1468,1
Acris_crepitans.ASV147,1
Acris_crepitans.ASV1476,1
Acris_crepitans.ASV1487,1
Acris_crepitans.ASV1492,1
Acris_crepitans.ASV1493,1
Acris_crepitans.ASV15,1
Acris_crepitans.ASV150,1
Acris_crepitans.ASV1500,1
Acris_crepitans.ASV1504,1
Acris_crepitans.ASV151,1
Acris_crepitans.ASV1513,1
Acris_crepitans.ASV1517,1
Acris_crepitans.ASV1518,1
Acris_crepitans.ASV1523,1
Acris_crepitans.ASV1529,1
Acris_crepitans.ASV153,1
Acris_crepitans.ASV1530,1
Acris_crepitans.ASV1533,1
Acris_crepitans.ASV1534,1
Acris_crepitans.ASV1541,1
Acris_crepitans.ASV1543,1
Acris_crepitans.ASV1548,1
Acris_crepitans.ASV1551,1
Acris_crepitans.ASV1553,1
Acris_crepitans.ASV156,1
Acris_crepitans.ASV1560,1
Acris_crepitans.ASV1563,1
Acris_crepitans.ASV1567,1
Acris_crepitans.ASV1568,1
Acris_crepitans.ASV1569,1
Acris_crepitans.ASV1570,1
Acris_crepitans.ASV1571,1
Acris_crepitans.ASV1578,1
Acris_crepitans.ASV1591,1
Acris_crepitans.ASV1596,1
Acris_crepitans.ASV160,1
Acris_crepitans.ASV1610,1
Acris_crepitans.ASV1617,1
Acris_crepitans.ASV1618,1
Acris_crepitans.ASV162,1
Acris_crepitans.ASV1626,1
Acris_crepitans.ASV1644,1
Acris_crepitans.ASV1645,1
Acris_crepitans.ASV1649,1
Acris_crepitans.ASV165,1
Acris_crepitans.ASV1652,1
Acris_crepitans.ASV166,1
Acris_crepitans.ASV167,1
Acris_crepitans.ASV168,1
Acris_crepitans.ASV1684,1
Acris_crepitans.ASV1685,1
Acris_crepitans.ASV1687,1
Acris_crepitans.ASV1695,1
Acris_crepitans.ASV1704,1
Acris_crepitans.ASV1710,1
Acris_crepitans.ASV1720,1
Acris_crepitans.ASV1728,1
Acris_crepitans.ASV1738,1
Acris_crepitans.ASV1739,1
Acris_crepitans.ASV1745,1
Acris_crepitans.ASV1746,1
Acris_crepitans.ASV175,1
Acris_crepitans.ASV1759,1
Acris_crepitans.ASV1778,1
Acris_crepitans.ASV1779,1
Acris_crepitans.ASV1781,1
Acris_crepitans.ASV1782,1
Acris_crepitans.ASV1784,1
Acris_crepitans.ASV1786,1
Acris_crepitans.ASV1803,1
Acris_crepitans.ASV1805,1
Acris_crepitans.ASV182,1
Acris_crepitans.ASV1821,1
Acris_crepitans.ASV1822,1
Acris_crepitans.ASV1827,1
Acris_crepitans.ASV1829,1
Acris_crepitans.ASV184,1
Acris_crepitans.ASV1842,1
Acris_crepitans.ASV1845,1
Acris_crepitans.ASV1854,1
Acris_crepitans.ASV1855,1
Acris_crepitans.ASV1871,1
Acris_crepitans.ASV1883,1
Acris_crepitans.ASV19,1
Acris_crepitans.ASV1904,1
Acris_crepitans.ASV1912,1
Acris_crepitans.ASV1919,1
Acris_crepitans.ASV192,1
Acris_crepitans.ASV193,1
Acris_crepitans.ASV1933,1
Acris_crepitans.ASV1934,1
Acris_crepitans.ASV194,1
Acris_crepitans.ASV1942,1
Acris_crepitans.ASV1962,1
Acris_crepitans.ASV197,1
Acris_crepitans.ASV1977,1
Acris_crepitans.ASV198,1
Acris_crepitans.ASV1988,1
Acris_crepitans.ASV1989,1
Acris_crepitans.ASV1990,1
Acris_crepitans.ASV1991,1
Acris_crepitans.ASV1992,1
Acris_crepitans.ASV2005,1
Acris_crepitans.ASV2009,1
Acris_crepitans.ASV2011,1
Acris_crepitans.ASV2016,1
Acris_crepitans.ASV2017,1
Acris_crepitans.ASV2019,1
Acris_crepitans.ASV2020,1
Acris_crepitans.ASV2021,1
Acris_crepitans.ASV2026,1
Acris_crepitans.ASV2030,1
Acris_crepitans.ASV2034,1
Acris_crepitans.ASV2041,1
Acris_crepitans.ASV2048,1
Acris_crepitans.ASV2049,1
Acris_crepitans.ASV2058,1
Acris_crepitans.ASV206,1
Acris_crepitans.ASV2061,1
Acris_crepitans.ASV2062,1
Acris_crepitans.ASV2070,1
Acris_crepitans.ASV2078,1
Acris_crepitans.ASV2079,1
Acris_crepitans.ASV208,1
Acris_crepitans.ASV2081,1
Acris_crepitans.ASV2085,1
Acris_crepitans.ASV2087,1
Acris_crepitans.ASV2102,1
Acris_crepitans.ASV2115,1
Acris_crepitans.ASV2118,1
Acris_crepitans.ASV2119,1
Acris_crepitans.ASV2128,1
Acris_crepitans.ASV213,1
Acris_crepitans.ASV2138,1
Acris_crepitans.ASV214,1
Acris_crepitans.ASV2143,1
Acris_crepitans.ASV2147,1
Acris_crepitans.ASV2148,1
Acris_crepitans.ASV2149,1
Acris_crepitans.ASV215,1
Acris_crepitans.ASV2157,1
Acris_crepitans.ASV2161,1
Acris_crepitans.ASV2163,1
Acris_crepitans.ASV2164,1
Acris_crepitans.ASV2166,1
Acris_crepitans.ASV2168,1
Acris_crepitans.ASV2178,1
Acris_crepitans.ASV218,1
Acris_crepitans.ASV2187,1
Acris_crepitans.ASV220,1
Acris_crepitans.ASV2200,1
Acris_crepitans.ASV2219,1
Acris_crepitans.ASV2228,1
Acris_crepitans.ASV224,1
Acris_crepitans.ASV2242,1
Acris_crepitans.ASV225,1
Acris_crepitans.ASV226,1
Acris_crepitans.ASV2261,1
Acris_crepitans.ASV2264,1
Acris_crepitans.ASV2265,1
Acris_crepitans.ASV2267,1
Acris_crepitans.ASV227,1
Acris_crepitans.ASV2277,1
Acris_crepitans.ASV2284,1
Acris_crepitans.ASV229,1
Acris_crepitans.ASV23,1
Acris_crepitans.ASV2309,1
Acris_crepitans.ASV2318,1
Acris_crepitans.ASV2325,1
Acris_crepitans.ASV2327,1
Acris_crepitans.ASV2332,1
Acris_crepitans.ASV235,1
Acris_crepitans.ASV2353,1
Acris_crepitans.ASV2355,1
Acris_crepitans.ASV2372,1
Acris_crepitans.ASV239,1
Acris_crepitans.ASV2394,1
Acris_crepitans.ASV2410,1
Acris_crepitans.ASV242,1
Acris_crepitans.ASV2422,1
Acris_crepitans.ASV2431,1
Acris_crepitans.ASV2437,1
Acris_crepitans.ASV2463,1
Acris_crepitans.ASV2468,1
Acris_crepitans.ASV247,1
Acris_crepitans.ASV2471,1
Acris_crepitans.ASV2472,1
Acris_crepitans.ASV2473,1
Acris_crepitans.ASV2479,1
Acris_crepitans.ASV2499,1
Acris_crepitans.ASV251,1
Acris_crepitans.ASV2515,1
Acris_crepitans.ASV2516,1
Acris_crepitans.ASV2528,1
Acris_crepitans.ASV2541,1
Acris_crepitans.ASV255,1
Acris_crepitans.ASV2558,1
Acris_crepitans.ASV2559,1
Acris_crepitans.ASV256,1
Acris_crepitans.ASV2563,1
Acris_crepitans.ASV2570,1
Acris_crepitans.ASV258,1
Acris_crepitans.ASV2590,1
Acris_crepitans.ASV2597,1
Acris_crepitans.ASV260,1
